Município;UF;Índice de Progresso Social;ÁREA km²;PIB PER CAPITA;Necessidades Humanas Básicas;Fundamentos do Bem-estar;Oportunidades;Nutrição e Cuidados Médicos Básicos;Água e Saneamento;Moradia;Segurança Pessoal;Acesso ao Conhecimento Básico;Acesso à Informação e Comunicação;Saúde e Bem-estar;Qualidade do Meio Ambiente;Direitos Individuais;Liberdades Individuais e de Escolha;Inclusão Social;Acesso à Educação Superior;Cobertura Vacinal (Poliomielite);Hospitalizações por Condições Sensíveis à Atenção Primária;Mortalidade Ajustada por Condições Sensíveis à Atenção Primária;Mortalidade Infantil até 5 Anos;Subnutrição;Abastecimento de Água via Rede de Distribuição;Esgotamento Sanitário Adequado;Índice de Abastecimento de Água;Índice de Perdas de Água na Distribuição;Domicílios com Coleta de Resíduos Adequada;Domicílios com Iluminação Elétrica Adequada;Domicílios com Paredes Adequadas;Domicílios com Piso Adequado;Assassinatos de Jovens;Assassinatos de Mulheres;Homicídios;Mortes por Acidente de Transporte;Abandono no Ensino Fundamental;Abandono no Ensino Médio;Evasão no Ensino Médio;Distorção Idade-Série no Ensino Médio;Ideb Ensino Fundamental;Reprovação Escolar no Ensino Médio;Cobertura de Internet Móvel (4G/5G);Densidade de Internet Banda Larga Fixa;Densidade de Telefonia Móvel;Qualidade de Internet Móvel;Expectativa de Vida;Mortalidade entre 15 e 50 anos;Mortalidade por Doenças Crônicas Não Transmissíveis;Obesidade;Suicídios;Consumo de Alimentos Ultraprocessados;Áreas Verdes Urbanas;Emissões de CO?e por Habitante;Focos de Calor;Índice de Vulnerabilidade Climática dos Municípios;Supressão da Vegetação Primária e Secundária;Acesso a Programas de Direitos Humanos;Existência de Ações para Direitos de Minorias;Índice de Atendimento à Demanda de Justiça;Taxa de Congestionamento Líquido de Processos;Resposta a Processos Previdenciários;Resposta a Processos Familiares;Acesso à Cultura, Lazer e Esporte;Gravidez na Adolescência (<19 anos);Índice de Vulnerabilidade das Famílias do CadÚnico (IVCAD);Praças e Parques em Áreas Urbanas;Paridade de Gênero na Câmara Municipal;Paridade de Negros na Câmara Municipal;Violência contra Indígenas;Violência contra Mulheres;Violência contra Negros;Famílias em Situação de Rua;Empregados com Ensino Superior;Mulheres Empregadas com Ensino Superior;Nota Mediana do Enem
Escada;PE;53,1;342,16;21139,37;60,02;63,92;35,37;72,57;66,53;85,43;15,55;76,25;66,56;48,72;64,15;8,15;53,78;60,03;19,52;70,75;945,34;189,44;9,8;3,17;77,53;45,53;79,54;59,03;72,08;78,14;82,34;96,99;235,14;10,33;76,54;13,36;1,03;0,37;5,8;19,42;3,87;1,37;99,06;12,49;78,36;93,35;71,83;3,62;508,12;16,9;3,67;82,51;8,12;2,61;1,67;51,04;5,47;1;0;95;58;2661,1;1013,16;7;18,95;0,29;2,24;0,31;0,77;43,1;45,82;73,67;4,41;21,56;24,24;506,76
Esplanada;BA;51,83;1299,36;21591,17;63,54;54,58;37,35;67,03;62,08;86,48;38,58;55,17;57,48;55,5;50,17;5,29;47,87;70,05;26,21;73,94;964,29;167,77;17,67;5,35;69,09;1,66;82,08;33,42;81,64;85,54;74,08;96,33;104,85;2,39;47,3;36,25;4,15;10,97;10,3;56,98;3,44;7,57;80,25;6,2;65,62;92,7;69,38;2,6;361,86;22,01;2,46;58,49;8,13;13,86;2,15;61,17;41,64;1;0;116;73;3513,89;1595,59;2;18,62;0,31;2,19;0,15;0,48;0;49,03;36,07;3,65;31,57;40,17;500,06
Euclides da Cunha;BA;55,42;2025,37;12412,99;71,44;54,58;40,23;74,89;59,48;87,69;63,7;56,44;47,49;58,52;55,88;17,38;50,96;67,43;25,14;84,51;1367,19;109,1;16,82;4,23;66,16;20,3;71,78;40,56;61,73;92,75;78,13;99,16;41,63;2,43;21,8;23,76;4,4;10,12;10,72;46,08;3,63;10,75;55,92;6,13;68,44;73,28;69,94;2,26;298,91;19,38;6,83;77,23;2,74;9,05;0,98;46,98;42,24;2;0;170,2;49;295,82;618,31;4;15,77;0,3;0,57;0,27;0,52;2,26;69,48;24,45;4,35;20,43;27,33;531,67
Eunápolis;BA;58,33;1425,97;26771,75;69,93;61,03;44,04;69,83;77,87;94,64;37,37;59,68;68,19;50,55;65,69;22,1;53,25;61,8;38,98;78,51;887,25;184,34;16,84;4,27;86,98;31,62;90,97;22,1;94;94,57;88,47;98,64;152,91;4,78;53,47;19,52;3,95;10,97;11,2;36,88;3,91;7,22;97,23;10,98;89,53;94,22;72,46;3,25;432,44;23,79;5,28;78,76;6,48;4,95;0,44;40,88;15,67;7;0;130,13;63,75;1311,96;794,59;5;16,19;0,29;2,45;0,24;0,92;3,28;103,79;40,28;20,91;48,56;56,32;550,6
Eusébio;CE;62,65;78,82;44877,77;72,86;66,76;48,33;75,78;67,49;93,25;54,91;78,04;73,39;56,03;59,59;15,94;57,62;49,7;70,07;75,53;571,22;150,93;11,69;3,09;69,38;83,52;66,17;47,91;98,69;90,59;83;99,37;92,37;3,28;26,97;5,93;0,18;3,92;10,48;16,3;5,83;1,87;100;24,71;90,94;94,31;72,66;1,7;443,88;29,49;2,97;87,79;6,52;4,79;0;50,45;28,45;5;0;156;83;1793,22;855,36;4;9,42;0,28;5,21;0,53;0,9;185,19;142,44;135,94;19,88;131,97;142,38;517,16
Exu;PE;54,03;1336,79;9794,54;68,49;58,34;35,25;79,58;44,03;85,17;65,17;73,99;48,38;61,46;49,54;19,7;47,65;53,73;19,94;95,93;522,58;107,72;17,17;3,68;36,79;4,82;60,02;35,48;45,54;92,13;84,22;94,92;33,02;3,09;18,21;25,12;0,88;4,33;7,82;22,67;4,67;3,65;59,61;0,76;50,11;94,83;71,47;2,34;348,19;13,16;7,85;69;0,42;21,95;16,96;51,45;33,95;6;0;102;72;1010,66;827,7;3;19,97;0,31;2,02;0,46;0,7;113,64;192,9;72,92;0,16;23,77;21,35;494,94
Farias Brito;CE;57,95;530,54;10978,31;65,53;63,18;45,14;71,87;51,3;88,12;50,82;80,18;58,51;55,09;58,93;31,16;54,63;61,32;33,44;97,25;1065,95;108,42;28,12;5,33;74,19;1,37;34,76;20,46;76,97;96,69;82,69;89,45;55,46;10,93;23,06;24,15;0,18;1,02;8,52;18,68;5,78;1,5;80,71;9,82;63,87;93,36;71,41;2,36;384,33;21,41;12,35;71,23;3,05;4,24;7,69;49,17;22,81;8;4;94;66;1145,3;1056,43;6;18,06;0,28;3,41;0,18;0,62;0;271,04;99,01;3,23;43,76;55,16;501
Fátima;BA;59,98;368,34;15277,32;79,06;60,49;40,39;71,38;78,83;90,47;75,58;68,39;55,83;58,42;59,31;21,59;56,49;60,37;23,12;84,49;313,33;142,76;16,11;5,65;84,16;57,84;93,65;38,94;70,46;93,69;84,21;99,1;24,59;0;6,71;8,94;2,57;6,2;7,8;34,03;4,4;3,85;96,05;9,63;55,91;75,46;66,16;1,73;332,07;15,06;6,71;66,92;2,24;3,88;0;49,84;18,01;6;0;124,5;40,17;1849,28;856,71;3;12,4;0,29;9,05;0,18;0,29;0;165,62;266,67;1,35;26,32;32,09;516,1
Feira da Mata;BA;58,84;1176,11;10909,1;75,21;56,86;44,45;82,74;61,89;80,82;75,41;68,28;43,46;65,8;49,91;4,79;54,82;95,9;22,28;100;251,47;101,91;15,34;3,23;47,96;0,62;99,92;23,79;56,25;89,36;64,68;93,39;22,42;0;7,1;13,32;3,4;6,45;7,97;33,83;4,7;2,93;43,74;1,33;52,93;86,93;70,77;2,1;267;12,53;4,44;66,67;8,35;53,37;17,76;53,43;32,17;1;0;35;92;1741,83;1543,08;1;9,35;0,28;4,61;0,22;0,86;0;0;0;0;23,7;28,7;476,14
Feira de Santana;BA;59,7;1304,42;26458,56;66,07;62,75;50,28;67,59;85,05;94,67;16,98;62,84;67,6;57,67;62,9;56,16;61,1;46,29;37,56;56,17;450,11;140,94;15,07;4,69;91,49;88,48;93,89;45,82;93,65;96,48;92,82;94,9;201,26;9,17;73,05;23,43;3,1;6,83;8,83;39,87;3,86;9,15;97,96;8,02;90,6;93,99;74,2;2,99;372,12;22,89;3,25;67,93;6,63;1,99;0,11;48,81;27,3;13;10;151,54;62,97;314,89;1164,71;10;10,82;0,28;2,34;0,29;0,98;29,47;289,99;94,23;55,08;45,09;53,37;557,54
Feira Nova;PE;59,1;107,73;11248,01;71;66,8;39,49;75,12;66,19;94,68;48,03;80,14;64,23;56,18;66,63;9,1;50,71;61,15;37;89,35;1120,14;160,59;11,27;4,28;70,79;6,35;91,93;35,14;83,07;97,08;91,91;98,79;73,05;10,76;29,87;11,2;0,23;0;4,43;18,93;4,68;1,68;99,92;6;74,39;94,5;73,43;2,72;471,45;18,99;11,2;45,78;4,3;1,76;0,93;43,72;7,17;2;0;43;95,67;1201,69;916,47;3;15,95;0,29;0;0,55;0,55;0;231,27;278,32;1,17;53,82;61,52;505,49
Fernando de Noronha;PE;70,02;18,61;69733,96;86,38;71,21;52,48;80,48;94,19;85,83;85;82,09;62,78;75,38;64,57;26,61;53,79;57,57;71,96;95,58;715,86;156,63;10,42;2,91;97,64;93,09;98,25;18,59;98,67;74,77;76,95;94,27;0;0;0;10,53;0;0,22;4,97;12,95;5,58;5,47;100;23,7;90,88;53,75;75,36;0,62;163,65;26,7;0;92,86;7,91;4,79;0;48,05;0;4;4;231,26;65,15;698,54;537,73;2;10,27;0,27;0;0,33;0,46;0;290,24;111,86;29,61;106;123,46;538,37
Ferreiros;PE;59,01;92,52;8450,69;71,38;64,97;40,68;74,68;70,26;92,85;47,72;75,05;58,52;61,03;65,3;26,38;49,68;65;21,66;92,16;592,25;151,84;25,7;3,07;72;53,52;82,95;40,55;81,77;92,82;90,11;98,42;90,8;8,59;30,61;8,32;0,98;0,3;5,77;26,45;4,23;4,52;100;6,82;43,4;96,07;72,24;2,12;327,84;16,94;4,99;100;5,19;1,47;2,66;48,02;6,39;8;0;156,69;65,87;744,31;520,25;3;18,81;0,29;0;0,22;0,85;0;74,7;124,73;9,48;26,77;35,54;484,07
Filadélfia;BA;55,12;579,69;7558,74;73,12;55,96;36,27;75,37;66,64;88,89;61,58;62,63;58,09;56,62;46,5;6,14;49,08;71,7;18,14;94,79;915,96;156,6;20,15;3,57;68,96;27,44;74,47;17,16;63,51;91,58;84,28;98,77;71,55;0;24,59;21,23;3,3;9,08;8,63;44,05;3,83;3,28;81,94;13,03;58,65;90,89;68,56;2,34;419,06;15,6;1,86;64,69;0,49;5,59;2,24;66,11;40,73;0;0;140,5;73;1134,61;1385,96;2;17,54;0,29;0,67;0;0;0;24,53;33,7;2,18;21,25;29,09;475,24
Firmino Alves;BA;55,49;172,35;14259,75;74,86;53,29;38,3;77,4;86,3;87,25;48,49;60,13;52,76;44,88;55,4;7,05;48,33;68,58;29,25;90,61;692,86;138,11;17,89;3,17;85,78;78,52;93,18;17,85;91,1;78,52;81,46;95,39;56,55;10,34;28,73;15,39;7,57;4,33;10,35;45,75;4,03;0,82;61,91;0,32;67,57;96,4;66,93;3,4;430,78;21,98;12,31;40;3,14;19,03;0;51,41;5,35;1;0;127;80;1298,89;1531,72;1;14,91;0,31;0,67;0;0,69;0;33,09;102,67;0;36;44,94;478,94
Flores;PE;56,4;995,56;9326,14;69,82;58,7;40,69;79,58;55,67;90,08;53,94;76,06;46,54;53,81;58,41;24,92;49,03;67,17;21,63;95,58;662,05;122,68;21,69;2,51;45,02;47,72;62,23;28,23;42,13;97;96,15;98,53;41,9;9,67;28,51;25,56;0,5;2,6;8,12;22,02;4,97;3,43;54,6;1,75;44,39;95,6;69,67;2,8;431,91;12,77;8,85;74,14;0,5;6,5;3,93;45,28;23,61;9;0;64;79;1009,33;831,68;3;16,89;0,31;1,22;0,18;0;0;42,54;105,15;4,77;24,1;26,12;506,53
Floresta;PE;58,22;3637,25;14179,75;71,13;58,36;45,18;71,1;71,58;78,95;62,89;72,31;57,49;52,14;51,51;34,88;51,64;57,43;36,75;76,97;766,49;151,68;16,26;4,54;55,11;76,11;92,04;36,15;56,83;89,35;67,95;86,26;27,37;6,5;20,57;29,2;1,28;1,83;7,2;31,42;4,42;5,75;71,8;15,16;61,63;92,74;71,52;2,49;449,97;21,72;7,96;91,11;2,54;13,99;0;55,67;28,02;5;10;374;72,33;2377,24;1585,76;6;21,82;0,3;4,98;0,31;1;3,02;231,23;222,97;2,12;45,78;63,67;534,66
Floresta Azul;BA;57,14;321,01;8939,63;75,52;53,87;42,03;72,73;76,15;91,93;61,27;60,66;47,29;52,41;55,14;27,97;46,97;79,06;14,11;87,28;500,9;186,52;19,23;3,62;84,83;43,43;74,59;9,28;85,37;87,49;90,5;98,14;66,31;0;25,33;3,01;1,32;10,42;13,05;49,15;4,08;5,72;88,85;2,88;55,39;57,02;68,88;2,09;393,71;22,85;6,03;97,08;0,09;11,05;0,9;50,39;13,6;5;8;88;92,5;3811,52;1419,8;2;19,98;0,3;0;0,67;0,54;0;22,09;11,48;0,54;18,13;23,84;472,96
Formosa do Rio Preto;BA;53,01;15634,33;169286,98;67,85;50,98;40,18;67,69;57,54;78,91;67,25;67,47;48,64;59,32;28,51;9,27;45,89;77,11;28,47;81,01;2336,35;125,92;18,38;5,96;65,62;4,7;63,47;22,15;58,99;87,21;60,84;91,19;18,91;5,86;13,13;22,39;1,05;3,7;7,3;41,92;4,01;9,75;62;9,7;67,04;69,05;70,8;2,43;307,69;18,17;4,63;80,55;1,91;123,22;272,6;55,21;42,6;3;0;101,5;70,5;3972,38;1604,92;3;21,15;0,32;0,82;0,36;0,76;0;21,48;14,64;1,3;42,48;51,44;469,8
Forquilha;CE;61,22;568,78;12225,22;68,18;62,73;52,75;81,1;78,39;92,2;21,03;82,03;57,97;48,8;62,13;46,2;52,54;85,43;26,82;91,33;472,5;118,42;8,08;3,68;91,16;97;64,03;37,62;78,26;97,73;84,82;97,78;229,39;2,05;89,36;23,17;0,08;2,38;8,27;9,73;6,05;1,4;95,54;3,64;60,86;87,67;70,62;3,56;360,84;16,78;11,58;100;1,95;2,93;18,62;44,04;16,01;10;7;392,87;53,47;547,69;626,6;2;14,11;0,27;1,26;0,55;0,71;0;18,02;0;6,72;32,42;41;499,88
Fortaleza;CE;64,44;312,35;28733,63;73,89;68,22;51,22;77,87;81,19;93,85;42,67;75,81;73,94;54,95;68,19;42,76;62,21;32,37;67,52;82,93;912,81;110,22;13,31;3,48;90,22;91,98;79,9;43,5;94,14;93,12;85,91;99,05;102,28;5,98;40,55;14,4;0,62;3,82;7,6;25,6;5,2;2,57;100;24,98;91,39;95,76;74,41;2,4;390,71;30,19;6,12;87,73;3,96;1,74;0,02;38,09;18,46;7;9;139,71;52,36;837,21;585,09;11;11,38;0,28;4,68;0,42;0,9;91,33;481,79;219,28;108,17;111,82;117,22;541,33
Fortim;CE;58,02;285,02;17435,24;67,27;63,86;42,95;75,21;44,15;89,4;60,31;77,15;63,99;52,21;62,08;38,79;53,81;61,93;17,25;84,26;789,33;124,63;23,61;2,95;58,58;0,18;39,73;37,55;81,73;96,35;70,16;98,99;30,77;11,4;16,19;19,66;0,2;3,3;9,7;28,33;5,92;1,07;91,29;14,17;71,59;93,75;69,06;1,56;394,1;29,81;8,67;88,58;3,82;5,39;2,89;41,01;31,97;6;10;101,6;81,38;1097,94;789,46;3;14,78;0,27;2,4;0,73;0,61;0;257,58;219,59;4,33;22,09;27,85;472,69
Frecheirinha;CE;58,91;210,28;16986,63;66,82;66,14;43,78;73,32;64,02;88,82;41,1;79,94;63,93;57,34;63,35;22,3;50,42;68,2;34,18;84,12;1237,01;136,37;15,69;4,45;64,24;94,71;48,16;35,66;62,14;96,36;81,21;97,66;71,99;12,83;43,55;31,93;0,17;4,53;9,68;19,22;6,65;1,17;91,55;14,98;70,38;93,26;69,78;2,38;475,38;18,46;7,66;8,59;14,61;4,73;8,3;54,7;6,78;7;0;94;78,57;887,09;602,65;2;14,68;0,29;0,72;0,89;0,92;0;112,91;128,87;0;47,19;58,35;497,71
Frei Miguelinho;PE;59,16;213,74;9410,13;68,36;63,57;45,55;81,23;36,55;88,28;67,37;71,36;60,27;60,43;62,21;26,77;47,23;82,53;25,66;93,15;952,43;115,77;15,98;2,4;17,55;11,03;43,7;16,78;49,81;94,48;85,34;99,33;11,68;4,76;12,83;14,67;3,32;0,12;8,02;30,28;4,3;2,37;99,94;5,4;55,23;95,16;70,47;2,58;347,1;19,21;5,5;22,22;5,47;2,68;0;46,06;34,39;4;6;191;66,67;1906,79;928,59;0;12,53;0,32;1,01;0,44;0,49;0;42,86;0;0;18,84;25,48;511,83
Gameleira;PE;53,16;257,78;15370,84;62,16;57,44;39,88;73,51;67,55;88,1;19,47;68,11;61,03;37,99;62,65;27,77;44,6;68,9;18,23;87,88;756,71;205,31;13,29;3,61;67,14;65,92;72,89;39,56;72;88,24;86,76;94,48;184,14;8,64;66,98;4,12;2,27;0,82;9,97;36,92;3,78;4,08;94,52;9,21;59,32;95,14;70,54;4,09;594,34;22,87;12,35;72,36;0,31;2,59;1,65;45,19;8,59;4;5;78;53;1160,99;553,16;1;23,32;0,3;0;0,55;0,63;0;90,71;61,32;0,76;22,53;29,79;472,72
Gandu;BA;54,35;229,66;13689,67;66,3;61,29;35,47;71,08;75,58;89,36;29,18;65,68;64,13;58,27;57,09;18,26;49,92;46,28;27,41;74,01;1113,81;168,09;16,93;3,54;78,39;81,82;71,88;28,9;81,86;92,86;79,8;95,38;164;6,08;57,18;13,67;1,62;10,65;9;36,85;4,47;5,6;98,72;9,84;68,64;95,2;71,26;3,2;349,65;15,89;1,55;54,39;2,94;4,97;0;51,24;29,09;3;2;156;47,67;1788,86;1058,36;5;21,11;0,3;1,76;0,31;0,82;642,86;206,74;140,23;3,66;25,54;33,51;535,04
Garanhuns;PE;61,5;458,96;20518,29;72,73;64;47,76;73,25;80,86;93,92;42,89;76,85;69,85;53,54;55,75;42,19;56,76;43,69;48,42;80,67;657,62;173,56;13,76;3,8;80,47;72,92;100;44,78;84,16;94,8;90,1;99,06;94,87;6,33;40;14,17;0,67;1,07;6,2;21,45;4,67;4,12;98,52;14,47;90,31;94,69;72,69;2,72;502,24;18,9;6,03;76,45;3,21;3,08;0,42;53,22;45,86;5;11;100,33;58,17;1018,14;447,99;6;13,47;0,28;4,01;0,47;0,77;69,28;813,16;453,74;6,92;68,02;77,7;554,14
Gavião;BA;57,95;384,59;11191,5;66,81;61,29;45,75;75,03;66,48;91,31;34,43;70,26;58,3;62,13;54,48;34,16;52,92;65,4;30,51;89,51;499,68;96,85;23,35;4,46;72,27;24,51;68,98;12,35;67,32;96,05;86,86;99,19;168,54;0;55,05;34,4;2,18;7,03;3,9;35,15;4,12;2,13;68,13;13,51;71,93;92,94;69,79;2,1;215,61;12,09;17,2;77,69;0,46;11,83;2,29;49,21;24,61;8;7;148;64;3769,5;1513,58;1;15,83;0,29;8,56;0;0,46;0;113,1;58,14;0;39,23;58,45;465,12
General Sampaio;CE;57,67;230,37;12651,33;67,41;59,56;46,06;79,15;56,86;86,99;46,62;77,35;52,48;45,94;62,45;22,81;50,46;78,21;32,73;93,32;661,25;154,17;12,02;3,14;75,74;3,01;55,68;30,43;63,83;92,37;79,16;96,2;98,46;0;41,58;40,84;0,13;3,57;8,83;22,75;5,37;0,5;94,02;0,29;43,84;85,33;69,65;2,88;475,8;20,25;11,88;100;0;3,2;4,46;43,23;11,71;1;6;88;72;1036,23;470,89;4;18,08;0,3;1,74;0,44;0,43;;113,87;0;4,61;47,09;63,98;462,7
Gentio do Ouro;BA;50,79;3817,95;11935,83;67,05;53,93;31,37;73,16;51,56;72,7;70,79;70,81;28,3;61,26;55,35;4,41;49,51;62,44;9,13;84,92;1018,68;124,93;11,86;5,6;33,64;92,95;39,58;29,11;44,36;87,85;33,73;95,9;40,21;0;18,38;23,89;1,9;2,25;4,73;35,83;4,42;9,67;37,26;8,28;41,32;34,01;69,57;1,59;363,57;12;9,19;89,39;0,22;11,36;16,54;49,3;9,18;0;0;129;76;4667,56;936,26;3;17,41;0,3;1,23;0,22;0,31;0;101,89;281,95;0;13,66;16,25;469,9
Glória;BA;54,6;1566,61;15927,21;71,69;55,62;36,47;70,06;63,93;82,9;69,88;62,84;44,15;59,68;55,81;16,23;51,91;55,78;21,98;61,78;538,17;161,04;10,9;4,2;67,57;33,09;68,73;24,5;60,82;81,68;75,27;96,11;41,11;0;20,61;20,61;2,22;7,05;12,22;42,72;4,13;6,4;42,38;5,36;48,62;89,48;71,51;2,33;415,84;17,41;5,15;50;0,59;5,36;0;52,84;19,53;5;0;185,3;51,1;2085,91;1899,64;4;17,51;0,28;1,19;0,55;0,25;57,63;189,66;61,79;0,78;24,07;32,7;491,91
Glória do Goitá;PE;55,9;234,49;18395,28;65,56;64,31;37,85;74,97;57,88;88,52;40,85;78,14;59,37;56,01;63,73;20,24;52,36;55,73;23,05;78,1;745,65;146,93;17,41;2,85;53,34;52,8;60,72;33,83;65,33;88,92;86,44;97,66;97,33;4,99;44,98;12,78;0,73;0,03;5,33;21,05;4,3;0,35;99,78;1,87;56,72;94,85;70,88;2,87;402,59;11,45;6,82;86,93;3,05;1,6;2,73;47,76;9,87;3;3;56,5;72;1032,03;540,53;6;14,6;0,31;0,73;0,73;0,9;277,78;89,12;73,37;1,61;25,13;30,46;516,31
Goiana;PE;55,7;445,4;126124,98;60,86;65,44;40,81;75,77;50,8;81,97;34,88;75,8;66,93;52,85;66,21;19,84;52,01;45,02;46,34;88,89;1040,13;168,41;14,93;3,22;48,5;15,51;64,39;37,51;72,16;70,17;77,34;96,32;118,51;8,04;45,66;12,09;1,12;0,25;4,95;21,25;3,86;3,13;99,93;4,07;90,54;94,39;71,75;2,64;465,03;23,7;3,21;74,03;6,58;2,13;2,59;45,94;7,06;0;0;94,86;43,14;214,17;73,87;6;18,13;0,3;1,24;0,35;0,64;120,48;817,5;159,74;3,05;73,11;69,95;519,28
Gongogi;BA;55,74;202,19;13836,04;73,98;53,56;39,67;66,44;78,42;91,8;59,26;59,82;50,73;50,54;53,16;11,81;48,11;74,17;24,6;86,17;1509,95;221,73;21,77;4,53;86,31;94,05;61,56;21,19;89,41;95,11;85;94,49;62,34;0;27,03;31,5;3,5;11,97;8,43;49,98;3,97;4,97;81,97;0,81;33,01;97,55;71,37;2,86;513,52;24,18;0;71,43;0,72;15,58;3,6;50,18;24,61;2;2;175,33;74,67;2920,25;1602,68;3;23,93;0,29;2,34;0,22;0;0;17,95;30,1;2,76;35,3;41,61;470,36
Governador Mangabeira;BA;53,94;106,85;10491,58;58,71;61,85;41,25;75;54,78;82,38;22,66;69,03;65,41;51,65;61,32;15,73;51,92;70,65;26,71;97,24;666,63;187,7;14,65;4,15;58,39;1,83;60,85;16,4;45,7;91,74;70,26;96,22;173,95;9,14;59,21;22,32;2,47;4,63;6,73;30,62;4,02;5,5;97,01;5,44;87,6;91,81;70,26;2,91;422,62;25,72;6,79;39;5,24;2,44;0;52,65;12,16;1;6;136;90;3700,92;1801,94;4;15,2;0,29;0,23;0,36;1;0;63,95;42,24;0,68;32,12;37,28;517,16
Graça;CE;56,59;258,94;9218,14;72,18;61,22;36,37;78,72;48,08;89,54;72,39;77,28;54,75;53,38;59,49;12,45;49,54;70,12;13,38;93,9;1000,42;138,81;13,76;3,34;60,62;8,84;34,71;18,52;49,21;96,85;90,37;98,22;24,4;0;14,49;21,74;0,12;3,42;11,55;22,87;6,09;1,8;85,43;11,08;39,72;92,25;70,28;2,78;464,02;15,25;9,06;61,61;0,56;1,78;13,77;52,8;5,56;1;0;107;57;737,26;587,91;1;14,59;0,29;0,71;0,44;0,16;0;40,98;83,52;0;11,73;15,9;453,94
Granito;PE;57,85;521,69;10963,72;75,12;59,24;39,19;81,22;52,63;84,9;81,72;74,53;48,62;64,69;49,13;31,68;49,5;46,73;28,84;95,69;820,25;95,25;19,89;2,66;51,36;30,85;57,27;33,96;50,9;90,36;77,64;97,51;0;0;4,78;31,58;0,73;0,47;7,27;22,65;4,62;9,23;60,03;1,17;51,33;93,92;71,4;2,09;341,85;9,64;7,18;68,23;3;25,17;28,71;47,11;61,61;7;7;61;90,33;2891,3;866,97;3;20,47;0,3;4,44;0,67;0;2500;190,48;84,6;0;33,62;40,8;518,46
Granja;CE;55,96;2663,18;8499,16;66,82;62,87;38,18;76,02;47,85;75,54;67,87;81,38;49,76;61,43;58,91;21,23;49,4;57,21;24,88;84,97;625,18;121,23;11,79;4,63;46,36;6,46;51,96;20,21;28,63;89,88;57,18;93,34;19,76;2,55;11,62;17,25;0,33;0,63;7,7;13;5,77;2,32;70,13;3,92;41,49;93,85;71,68;2,07;319,8;17,04;12,65;63,12;2,08;4,01;16,5;49,62;13,16;6;0;105;61;752,38;826,07;3;15,94;0,31;0,54;0,67;0,99;172,41;59,61;91,36;4,05;33,26;43,71;479,51
Granjeiro;CE;62,53;111,53;10425,76;75,58;60,19;51,81;73,57;60,29;91,93;76,53;77,66;51,27;54,26;57,58;36,97;51,53;81,3;37,47;64,95;1101,59;95,03;13,96;3,83;73,03;74,67;31,23;26,34;57,33;96,88;94,78;98,98;0;0;20,66;20,66;0,75;2,05;8,42;21,45;5,48;2,12;81,68;1,04;46,54;88,68;67,88;2,08;377,46;11,89;13,77;100;0;5,18;2,07;49,16;17,55;8;7;68;72;1372,96;739,34;3;14,26;0,29;0,84;0,44;0,79;0;61,65;0;1,39;52,14;67,48;505,84
Gravatá;PE;61,68;507,36;14905,34;72,04;67,9;45,1;76,91;83,93;87,07;40,24;75,53;70,12;59,34;66,6;48,67;52,98;52,86;25,9;76,84;761,05;147,64;11,31;2,74;80;82,86;100;35,51;76,64;89,43;76,7;95,41;114,19;5,33;46,47;10,87;1,1;0,52;6,82;22,02;4,33;3,58;96,99;17,46;89,81;93,91;72,63;2,62;397,45;13,05;4,85;87,85;7,98;1,87;0,58;40,98;37,95;14;8;128;71,5;1642,2;886,01;5;15,38;0,29;0,71;0,35;0,74;21,55;284,55;181,58;2,97;29,57;35,68;532,01
Groaíras;CE;59,92;155,68;9861,53;71,81;65,66;42,28;77,49;67,44;83,44;58,88;84,67;71,24;47,84;58,89;25,86;53,32;65,82;24,11;71,22;660,81;118,85;9;3,06;88,24;31,3;63,37;34,07;18,18;97,05;81,33;98,34;63,22;0;31,16;16,5;0,02;2,15;7,82;8,8;6,77;0,6;96,69;42,96;57,97;93,3;68,41;2,71;428,59;17,9;20,16;69,09;0,09;4,13;18,33;44,56;26,05;1;8;114;62;1294,79;810,12;3;12,1;0,28;0,82;0,22;0,86;0;192,48;35,16;3,38;27;34,58;489,02
Guaiúba;CE;51,97;256,05;9315,79;59,54;62,23;34,14;81,53;57,75;89,24;9,64;74,48;63,43;49,04;61,99;8;54,14;47,97;26,44;92,22;731,72;126,87;11,77;2,65;83,76;14,19;47,61;36,78;87,63;90,61;75,77;97,04;246,22;24,56;99,93;10,69;0,48;4,13;8,73;25,77;4,78;1,28;99,58;12,98;58,95;95,67;71,05;3,67;401,73;18,6;6,17;87,5;1,51;4,34;2,06;45,22;7,42;1;0;94;69;1660,45;1093,77;6;14,2;0,29;0,57;0,55;0,68;1666,67;104,81;121,44;3,4;32,01;40,92;492,61
Guajeru;BA;55,03;872,87;8411,84;70,53;56,11;38,45;80,37;37,15;83,4;81,18;68,82;44,76;61,34;49,51;4,18;50,53;68,11;30,99;91,54;349,61;93,74;3,25;5,46;31,75;1,56;38,9;24,25;23,62;93,32;79,94;99,73;0;0;9,32;14,91;1,12;3,68;11,13;35,22;4,36;4,8;33,65;9,68;44,69;97,74;71,2;2,02;333,01;15,42;8,28;80,76;1,24;16,22;55,9;50,93;31,53;1;0;81,33;86;4490,84;1511,12;2;11,15;0,31;0;0,44;0,45;0;59,52;112,23;0,79;35,84;42,09;505,37
